"deal_id","target_name","target_cik","cik_match_method"
"2610455020","Amcol International Corp","0000813621","cleaned"
"1775023020","AmerUS Group Co","0001051767","cleaned"
"2204522020","AmeriCredit Corp","0000804269","cleaned"
"3375613020","AmeriGas Partners LP","0000932628","cleaned"
"2769894020","Ameriana Bancorp","0000855574","cleaned"
"1881479020","America First Apartment Investors Inc","0001175167","cleaned"
"1933103020","American Bank Note Holographics Inc","0001052489","cleaned"
"3910535020","American Campus Communities Inc","0001283630","cleaned"
"2824359020","American Capital Ltd","0000817473","cleaned"
"2230664020","American Commercial Lines LLC","0001068078","cleaned"
"2112132020","American Community Properties Trust","0001065645","cleaned"
"3030843020","American DG Energy Inc","0001378706","cleaned"
"2359960020","American Dental Partners Inc","0001028087","cleaned"
"2283490020","American Eagle Energy Inc","0001401983","cleaned"
"3007425020","American Farmland Co","0001474777","cleaned"
"1921292020","American Financial Realty Trust","0001193558","cleaned"
"2454177020","American Greetings Corp","0000005133","cleaned"
"2194164020","American Italian Pasta Co","0000849667","cleaned"
"2034018020","American Land Lease Inc","0000804138","cleaned"
"2347384020","American Medical Alert Corp","0000700721","cleaned"
"2299065020","American Medical Systems Holdings Inc","0001114200","cleaned"
"2200230020","American Physicians Capital Inc","0001118148","cleaned"
"2216230020","American Physicians Service Group Inc","0000724024","cleaned"
"1806703020","American Power Conversion Corp","0000835910","cleaned"
"2642097020","American Realty Capital Healthcare Trust Inc","0001499875","cleaned"
"2447925020","American Realty Capital Trust Inc","0001410997","cleaned"
"2826440020","American Residential Properties Inc","0001548981","cleaned"
"3730688020","American River Bankshares","0001108236","cleaned"
"2252162020","American Surgical Holdings Inc","0001257499","cleaned"
"1878821020","American Technical Ceramics Corp","0000766430","cleaned"
"2431961020","Amerigroup Corp","0001064863","cleaned"
"2480227020","Ameristar Casinos Inc","0000912145","cleaned"
"2325946020","Ameron International Corp","0000790730","cleaned"
"3389157020","Amplify Energy Corp","0001521847","cleaned"
"3191838020","Amplify Snack Brands Inc","0001640313","cleaned"
"2400893020","Amylin Pharmaceuticals Inc","0000881464","cleaned"
"3381053020","Anadarko Petroleum Corp","0000773910","cleaned"
"2353995020","Anadys Pharmaceuticals Inc","0001128495","cleaned"
"1832041020","Analex Corp","0000044800","cleaned"
"3233404020","Analogic Corp","0000006284","cleaned"
"2561837020","Analysts International Corp","0000006292","cleaned"
"3890678020","Anaplan Inc","0001540755","cleaned"
"2580801020","Anaren Inc","0000006314","cleaned"
"2422194020","Ancestry.com Inc","0001469433","cleaned"
"2893518020","Anchor BanCorp Wisconsin Inc","0000885322","cleaned"
"3268045020","Anchor Bancorp","0001448301","cleaned"
"1881591020","Andrew Corp","0000317093","cleaned"
"1742262020","Andrx Corp","0000911755","cleaned"
"3098448020","Angie's List Inc","0001491778","cleaned"
"3494334020","Anixter International Inc","0000052795","cleaned"
"2461565020","Annapolis Bancorp Inc","0001041429","cleaned"
"2672223020","Annies Inc","0001431897","cleaned"
"1965275020","Ansoft Corp","0000849433","cleaned"
"2277358020","Answers Corp","0001283073","cleaned"
"3297005020","Antero Midstream Partners LP","0001598968","cleaned"
"3669462020","Anworth Mortgage Asset Corp","0001047884","cleaned"
"3003339020","Apigee Corp","0001324772","cleaned"
"2892107020","Apollo Education Group Inc","0000929887","cleaned"
"2925445020","Apollo Residential Mortgage Inc","0001515980","cleaned"
"1840079020","Applebees International Inc","0000853665","cleaned"
"1792936020","Applica Inc","0000217084","cleaned"
"1757400020","Applied Films Corp","0001040660","cleaned"
"3991677020","Applied Genetic Technologies Corp","0001273636","cleaned"
"1789031020","Applied Imaging Corp","0000816066","cleaned"
"1842566020","Applied Innovation Inc","0000798399","cleaned"
"3038546020","Applied Micro Circuits Corp","0000711065","cleaned"
"2232777020","Applied Signal Technology Inc","0000741696","cleaned"
"3308171020","Apptio Inc","0001419625","cleaned"
"1988534020","Apria Healthcare Group Inc","0000882289","cleaned"
"1896185020","Aptimus Inc","0001087277","cleaned"
"3388340020","Aquantia Corp","0001316016","cleaned"
"3493696020","Aquaventure Holdings Ltd","0001422841","cleaned"
"3746546020","Aquesta Financial Holdings Inc","0001687884","cleaned"
"3487167020","ArQule Inc","0001019695","cleaned"
"3386118020","Aratana Therapeutics Inc","0001509190","cleaned"
"2238560020","Arbinet Corp","0001136655","cleaned"
"2478767020","Arbitron Inc","0000109758","cleaned"
"3143345020","Arc Logistics Partners LP","0001583744","cleaned"
"2394007020","Archipelago Learning Inc","0001470699","cleaned"
"1871760020","Archstone-Smith Trust","0001156826","cleaned"
"3063835020","Arctic Cat Inc","0000719866","cleaned"
"2595789020","Arden Group Inc","0000225051","cleaned"
"3845384020","Arena Pharmaceuticals Inc","0001080709","cleaned"
"2170848020","Arena Resources Inc","0001123871","cleaned"
"2145536020","Argon ST Inc","0000026537","cleaned"
"2417538020","Ariba Inc","0001084755","cleaned"
"1862992020","Arkona Inc","0000925662","cleaned"
"1865254020","Armor Holdings Inc","0000845752","cleaned"
"3456870020","Arotech Corp","0000916529","cleaned"
"3416141020","Array Biopharma Inc","0001100412","cleaned"
"3304081020","Arris International Plc","0001645494","cleaned"
"1890551020","Arrow International Inc","0000886046","cleaned"
"2235458020","Art Technology Group Inc","0001086195","cleaned"
