term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs
operational_specificity_raw_z,-4.522668978071908,0.976368870349602,-4.632131477576201,1.033109417399156e-5,-6.458415226900104,-2.586922729243713,P1_core_yearFE,3102
fl_sentence_share_z,1.4546762913375477,0.7914310968700673,1.8380327701179124,0.0688579696700386,-0.1144128341931141,3.0237654168682093,P1_core_yearFE,3102
risk_transparency_z,0.15503504352806927,1.4468460153225375,0.10715379652444089,0.9148695155802522,-2.7134779046467186,3.0235479917028574,P1_core_yearFE,3102
tone_lm_z,1.2354966243979677,1.3191966741519556,0.936552258359964,0.3511178119649423,-1.3799390895058543,3.8509323383017895,P1_core_yearFE,3102
ln_deal_value,0.6161530962228882,0.6053899407519382,1.0177788805964985,0.31110045896518684,-0.584091342612283,1.8163975350580595,P1_core_yearFE,3102
tender,6.988646397973785,3.2667581172263884,2.1393216599420075,0.034704834039058635,0.5119806999105254,13.465312096037044,P1_core_yearFE,3102
percentage_of_cash,0.017892205148453903,0.021005421066201166,0.8517898828147468,0.3962510372164332,-0.023753085139627886,0.05953749543653569,P1_core_yearFE,3102
operational_specificity_raw_z,-2.5061180676611823,0.7829077881029294,-3.2010386226119665,0.002071059822880117,-4.0679763699888705,-0.9442597653334943,P2_core_indyrFE,2745
fl_sentence_share_z,0.978488977444137,0.999904102097197,0.9785828214844363,0.33120480473306935,-1.0162651265815859,2.97324308146986,P2_core_indyrFE,2745
risk_transparency_z,-0.38084719461225675,1.7745145571077656,-0.21462049611640804,0.8306962501061557,-3.9209068743554445,3.159212485130931,P2_core_indyrFE,2745
tone_lm_z,-0.13420358907083318,1.153776788478767,-0.11631676976946129,0.907739375823873,-2.435925303303703,2.1675181251620366,P2_core_indyrFE,2745
ln_deal_value,-0.2622784642304623,0.6916753962515685,-0.3791929937826924,0.7057089913272547,-1.6421331247250108,1.1175761962640862,P2_core_indyrFE,2745
tender,5.279839216705025,2.8891611741779464,1.8274644086643241,0.07195413775803518,-0.48387962122711237,11.043558054637163,P2_core_indyrFE,2745
percentage_of_cash,-0.009904889055446809,0.02587585734876037,-0.3827849613617274,0.7030558762427987,-0.061525812035325235,0.04171603392443162,P2_core_indyrFE,2745
operational_specificity_raw_z,-4.167696082424704,0.8917886576146922,-4.673412301040283,8.74919821011644e-6,-5.935753833085124,-2.399638331764284,P3_extended,3095
fl_sentence_share_z,1.062207498072241,1.053309711041084,1.0084474556133753,0.31553617682108775,-1.026081450828823,3.150496446973305,P3_extended,3095
risk_transparency_z,0.26493389145491,1.3596330035300392,0.1948569141577598,0.8458779550642815,-2.4306707783497488,2.9605385612595687,P3_extended,3095
tone_lm_z,0.9348832272179547,1.289425430586118,0.7250386141314094,0.4700258646003037,-1.621528100712884,3.4912945551487935,P3_extended,3095
fl_precision_share_z,-0.1761768095090118,0.7292340313239873,-0.24159159054761553,0.809563381181174,-1.6219542031981662,1.2696005841801428,P3_extended,3095
commitment_density_z,1.9518531097547993,0.9782241039507832,1.9953026120208972,0.04857577647783027,0.012428679868966341,3.8912775396406323,P3_extended,3095
hedging_density_z,-0.3459873640946988,0.9342486304156513,-0.3703375662865757,0.7118699625009501,-2.198226140564938,1.5062514123755404,P3_extended,3095
ln_deal_value,0.7484499925115577,0.6525137537632643,1.1470256192992059,0.2539534823827702,-0.5452219889638179,2.0421219739869336,P3_extended,3095
tender,6.7861631764644015,3.1313523822051774,2.167166881322189,0.03246084375893436,0.5779525178815401,12.994373835047263,P3_extended,3095
percentage_of_cash,0.0203102530463972,0.020446700221389127,0.9933266897096094,0.3228129014244925,-0.02022731882466893,0.06084782491746333,P3_extended,3095
