index,n,mean,sd,p05,p25,p50,p75,p95
commitment_density,4186,2.1331695205205126,0.9970438911310108,0.8041161072144349,1.4500744947339124,1.986472560754676,2.6638091262608015,3.907811389678451
fl_precision_share,4179,0.4958218971358624,0.19894036562388795,0.17073170731707318,0.35,0.5,0.6428571428571429,0.8137482900136799
fl_sentence_share,4186,0.08408517107123044,0.0408943480019641,0.03268288084464555,0.0565673958383858,0.07692307692307693,0.10234385715532612,0.16402652166675913
forward_looking_norm,4186,-1.3973542595957766e-18,0.9761798608192325,-1.273444294102354,-0.6834471187233405,-0.1857753365694736,0.5296052119903067,1.9229906200879077
hedging_density,4186,3.9221661560275454,1.678681053255036,2.050112490847077,2.955576578864928,3.717534355180799,4.604990645341961,6.271519921298574
neg_density,4186,12.653222839271741,5.380803654271101,6.011459362055357,8.992663280959508,11.814460906963593,15.258121020421706,21.325155566879857
operational_specificity_norm,4186,2.7847367600800645e-17,0.9761798608192325,-1.4180597981230951,-0.6673104187341795,-0.11857552571190574,0.5918033526262361,1.7706973461651185
operational_specificity_raw,4186,64.47792109061336,21.06421223070642,38.318049505297054,50.81684328322543,60.70822314354909,74.01082506433414,104.77561536455073
pos_density,4186,5.116644532034373,2.091938209649465,2.4095716872277775,3.6529260905199274,4.7794131696484445,6.174100642002212,8.94743382627066
risk_disclosure_raw,4186,69.14143609457881,9.491998651957584,53.36933048449684,63.03983185707109,69.33847566376687,75.4871752871361,83.88624757769156
risk_numeric_density,4186,10.05290383879874,6.630481326396419,2.9234729790551635,5.94380482310455,8.749497910355197,12.317666158505098,21.459427247085355
risk_transparency,4186,0.5619313613580652,0.19114179685019697,0.20873965267971567,0.42843932360869275,0.5892820586278358,0.715989216109828,0.8304912701309001
risk_transparency_norm,4186,-2.5749516689127546e-17,0.9761798608192325,-1.5821069656139912,-0.7023326631817967,0.07478005521491699,0.709255578807166,1.4735106158328413
tone_lm,4186,-0.39814929125922816,0.21638044705982554,-0.7014388489208633,-0.557627338877339,-0.42292057535959976,-0.27002873563218394,0
tone_lm_norm,4186,-6.893872059035682e-18,0.9761798608192325,-1.410176882877576,-0.7357388756029903,-0.07250682019306512,0.6358319652259625,1.7270767879789377
