term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs,odds_ratio
operational_specificity_raw_z,-0.041858382057710974,0.0531237722102782,-0.787940696154336,0.430731395283992,-0.145979062312766,0.06226229819734405,C1_core_yearFE,4186,0.9590055833535606
fl_sentence_share_z,-0.057626100858527624,0.044227734570897397,-1.3029403702817413,0.19259512003595786,-0.14431086773528357,0.02905866601822832,C1_core_yearFE,4186,0.9440028433116167
risk_transparency_z,0.11190944419532503,0.04946727927398871,2.26229228366255,0.023679350857175877,0.014955358405122507,0.20886352998552754,C1_core_yearFE,4186,1.1184115773988723
tone_lm_z,-0.04369271081461666,0.0534620322304241,-0.8172661792260129,0.4137763300137663,-0.14847636852656745,0.06109094689733413,C1_core_yearFE,4186,0.9572480642606912
ln_deal_value,0.07723582778029364,0.024413333238046148,3.1636740066255284,0.0015579119063310672,0.029386573891148585,0.1250850816694387,C1_core_yearFE,4186,1.0802968103535915
tender,1.6253507032247887,0.1845607744695897,8.806588008182636,1.2901281286155432e-18,1.2636182323055736,1.9870831741440038,C1_core_yearFE,4186,5.080200367454126
percentage_of_cash,-0.00923166227882629,0.0018242599167260219,-5.060497242845881,4.1816450667137263e-7,-0.01280714601404933,-0.00565617854360325,C1_core_yearFE,4186,0.9908108186915607
operational_specificity_raw_z,-0.06633542245820274,0.07649924206163881,-0.8671382966742778,0.38586623947168414,-0.21627118174362642,0.08360033682722094,C2_core_indyrFE,2973,0.9358169176312424
fl_sentence_share_z,-0.041402842666456316,0.06546453545458703,-0.6324469024175328,0.5270948942003403,-0.16971097442209232,0.08690528908917967,C2_core_indyrFE,2973,0.9594425476928894
risk_transparency_z,0.2560272709210445,0.06868399070840352,3.7276120429286506,1.9330263298360795e-4,0.12140912281808991,0.3906454190239991,C2_core_indyrFE,2973,1.2917879557067014
tone_lm_z,-0.02732232136779117,0.06580693186911218,-0.415189108377433,0.6780034714077774,-0.15630153776433212,0.10165689502874978,C2_core_indyrFE,2973,0.9730475569539494
ln_deal_value,0.1152994911083951,0.027362252293158536,4.213815802627614,2.5109208713094763e-5,0.06167046207790588,0.16892852013888432,C2_core_indyrFE,2973,1.1222094790094352
tender,1.9874610757937814,0.22989572933008143,8.645054353924989,5.377969150152287e-18,1.5368737261072534,2.4380484254803094,C2_core_indyrFE,2973,7.296983735080274
percentage_of_cash,-0.009002710172284559,0.002520637754624914,-3.571600145941723,3.548068263449139e-4,-0.0139430693894213,-0.004062350955147819,C2_core_indyrFE,2973,0.9910376928863558
operational_specificity_raw_z,0.03226925070832627,0.05754607989766777,0.5607549769803535,0.5749645831522465,-0.08051899334256694,0.14505749475921947,C3_extended,4179,1.032795548804806
fl_sentence_share_z,-0.066687505379878,0.05321651415515532,-1.2531355433286622,0.2101563827062074,-0.17098995650674836,0.03761494574699238,C3_extended,4179,0.935487490472971
risk_transparency_z,0.12508464751324005,0.047959828732833304,2.608112889852901,0.009104292347623817,0.031085110492177548,0.21908418453430256,C3_extended,4179,1.1332443753252432
tone_lm_z,-0.06239493663446802,0.04876629010883956,-1.2794685938834227,0.2007320922768121,-0.1579751089074254,0.033185235638489366,C3_extended,4179,0.9395117658964279
fl_precision_share_z,-0.05397913645038977,0.04166433641305938,-1.29557173106615,0.19512307361206752,-0.13563973525974687,0.02768146235896734,C3_extended,4179,0.9474518735047588
commitment_density_z,0.191375458907675,0.05156417640377417,3.711403386124238,2.0611333695601104e-4,0.09031153026380756,0.2924393875515424,C3_extended,4179,1.210914015194508
hedging_density_z,0.0019400343062328535,0.04128314688770517,0.04699337265906512,0.9625185095467808,-0.0789734467621461,0.0828535153746118,C3_extended,4179,1.0019419173903399
ln_deal_value,0.09911754173148442,0.02433469926484612,4.073094992986805,4.639249131289355e-5,0.05142240759777271,0.14681267586519614,C3_extended,4179,1.1041960810506268
