variable,n,n_missing,pct_missing,mean,sd,min,p01,p05,p25,p50,p75,p95,p99,max,skewness,kurtosis
premium_1d_w,3102,1084,25.9,32.744898001289485,39.86796976520294,-35.53879999999999,-35.52771199999998,-6.0874999999999995,9.535,24.725,43.300000000000004,100.93299999999998,238.82741399999907,238.84859999999952,2.4749853062352805,9.02598139995859
completion,4186,0,0,0.805303392259914,0.3960142717013091,0,0,0,1,1,1,1,1,1,-1.5415124134293758,0.37635059892611
time_to_close_w,3371,815,19.47,156.93325422723234,186.33245071796873,0,0,0,52.5,102,182,485,1154.7000000000032,1161.0000000000055,3.1526666984334626,12.036557623712225
operational_specificity_raw,4186,0,0,64.47792109061336,21.06421223070642,1.838235294117647,30.69901252476263,38.318049505297054,50.81684328322543,60.70822314354909,74.01082506433414,104.77561536455073,130.1375777149205,348.55218648523925,1.6503995338229585,9.773542771563395
fl_sentence_share,4186,0,0,0.08408517107123044,0.0408943480019641,0,0.01935483870967742,0.03268288084464555,0.0565673958383858,0.07692307692307693,0.10234385715532612,0.16402652166675913,0.2223283793347485,0.34294871794871795,1.3902679569941387,3.4290003859950193
risk_transparency,4186,0,0,0.5619313613580652,0.19114179685019697,0.02979484524399123,0.11588863308382596,0.20873965267971567,0.42843932360869275,0.5892820586278358,0.715989216109828,0.8304912701309001,0.875209858702523,0.9402951762295592,-0.46991516358255986,-0.5969583633424898
tone_lm,4186,0,0,-0.39814929125922816,0.21638044705982554,-0.9347826086956522,-0.784,-0.7014388489208633,-0.557627338877339,-0.42292057535959976,-0.27002873563218394,0,0.19665722996515306,0.7,0.6777628365042957,0.55119403690159
fl_precision_share,4179,7,0.17,0.4958218971358624,0.19894036562388795,0,0.031200000000000047,0.17073170731707318,0.35,0.5,0.6428571428571429,0.8137482900136799,0.9090909090909091,1,-0.084803582013583,-0.5035272052140121
commitment_density,4186,0,0,2.1331695205205126,0.9970438911310108,0,0.3882465253502217,0.8041161072144349,1.4500744947339124,1.986472560754676,2.6638091262608015,3.907811389678451,5.110599289174067,12.23021582733813,1.319694069850054,5.578185408567689
hedging_density,4186,0,0,3.9221661560275454,1.678681053255036,0,1.3082304760821342,2.050112490847077,2.955576578864928,3.717534355180799,4.604990645341961,6.271519921298574,8.236184739512527,51,7.813261971509431,175.8314600727043
risk_disclosure_raw,4186,0,0,69.14143609457881,9.491998651957584,1.4492753623188408,46.58064896389599,53.36933048449684,63.03983185707109,69.33847566376687,75.4871752871361,83.88624757769156,91.59672503634296,111.43224149004496,-0.18789931500561868,0.9903766520316157
pos_density,4186,0,0,5.116644532034373,2.091938209649465,0,1.6527213960673026,2.4095716872277775,3.6529260905199274,4.7794131696484445,6.174100642002212,8.94743382627066,11.682663995370477,19.99245567710298,1.1949836210538423,3.004695629161854
neg_density,4186,0,0,12.653222839271741,5.380803654271101,0,4.249367126364303,6.011459362055357,8.992663280959508,11.814460906963593,15.258121020421706,21.325155566879857,31.418735980143605,69,1.8402416402713293,8.054177505112023
mda_fog,4186,0,0,21.778588148117926,1.7459213404125802,16.59916944580156,18.307118709219885,19.232583348640105,20.654360848273274,21.711030826918005,22.789355186734515,24.466306841339264,25.870898249352614,62.63333333333334,3.394136269308686,71.69534747193111
mda_log_length,4186,0,0,9.156681980391383,0.4918173453639626,4.736198448394496,7.812235705509025,8.410941539167903,8.8865474125120425,9.183431554099851,9.454795210725027,9.902812278610737,10.242779590195719,11.125761858031977,-1.2159423082907892,7.597436253322872
ln_deal_value,4186,0,0,5.857780673861264,2.0612460605828247,1.0986122886681098,1.0986122886681098,2.137945521178607,4.4448107059587,5.9571139067423085,7.3783837129967145,9.043249408328514,10.20849879925246,10.209787381484194,-0.20091096747311432,-0.5054449657477726
